model_type,trial_id,val_loss,val_accuracy,accuracy,composite_score,num_conv1d_layers,filters,kernel_size,padding,activation,kernel_initializer,add_pooling_0,pool_size,strides,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha,add_pooling_1,add_pooling_2
buy_trials_Conv1D,122,5.6487016677856445,0.9581249952316284,0.8805273175239563,1.4265627570152282,3,32,7,valid,relu,he_normal,True,3,2,1,32,he_normal,0.5,0.0001,3.0,0.1,True,True
buy_trials_Conv1D,123,4.256700038909912,0.9572656154632568,0.9549999833106995,1.4401604785919189,3,32,3,same,relu,glorot_normal,True,3,2,1,32,zeros,0.5,0.0001,3.0,0.5,True,True
buy_trials_Conv1D,124,4.596434593200684,0.9950390458106995,0.9951953291893005,1.4904229714870454,3,32,3,valid,relu,he_normal,True,3,1,1,32,zeros,0.5,0.0024087617982752503,3.0,0.30000000000000004,True,True
buy_trials_Conv1D,125,5.167524337768555,0.9564453363418579,0.9642578363418579,1.4859612183570863,3,32,3,valid,relu,glorot_normal,True,3,2,1,32,zeros,0.5,0.0001,1.0,0.1,False,True
buy_trials_Conv1D,126,3.260096788406372,0.9473046660423279,0.9422460794448853,1.4317385942935943,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.5,0.0001,2.5,0.5,True,False
buy_trials_Conv1D,127,2.498588800430298,0.9079296588897705,0.9134765863418579,1.4016164622306824,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.5,0.0001,2.5,0.6,True,True
buy_trials_Conv1D,128,2.8261330127716064,0.9721875190734863,0.9566406011581421,1.466216943025589,3,32,7,valid,relu,he_normal,True,3,2,1,32,glorot_normal,0.1,0.0001,2.5,0.1,True,False
buy_trials_Conv1D,129,1.6100033521652222,0.9950390458106995,0.994824230670929,1.493959046959877,1,32,7,valid,gelu,glorot_normal,True,3,2,1,32,zeros,0.5,0.01,3.0,0.1,False,True
buy_trials_Conv1D,130,6.136070728302002,0.98046875,0.9820117354393005,1.4692400286197662,3,32,7,valid,relu,he_normal,False,3,2,1,32,zeros,0.5,0.0001,1.5,0.30000000000000004,True,False
buy_trials_Conv1D,131,1.8750370740890503,0.9264062643051147,0.9101952910423279,1.4420765696763993,3,32,7,valid,relu,he_normal,True,3,2,1,32,zeros,0.5,0.0001,2.0,0.4,True,True
buy_trials_Conv1D,132,2.6890671253204346,0.9950390458106995,0.9949414134025574,1.4914666676521302,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.5,0.0007846145864545786,1.0,0.9,True,False
buy_trials_Conv1D,133,3.0255374908447266,0.9023827910423279,0.8896484375,1.4240188541412353,3,32,7,valid,relu,he_normal,True,3,2,1,32,he_normal,0.1,0.0001,3.0,0.5,True,True
buy_trials_Conv1D,134,1.6045056581497192,0.9950390458106995,0.9950781464576721,1.4934345401525497,1,32,3,same,relu,glorot_normal,False,2,1,1,32,zeros,0.5,0.01,1.0,0.1,False,True
buy_trials_Conv1D,135,3.3028171062469482,0.7986719012260437,0.7330859303474426,1.2949663355350494,3,32,7,valid,relu,he_normal,True,2,2,1,32,zeros,0.1,0.0001,3.0,0.7000000000000001,True,False
buy_trials_Conv1D,136,4.204117298126221,0.976757824420929,0.9699413776397705,1.4717770586013794,3,32,7,same,relu,glorot_normal,True,3,2,1,32,zeros,0.1,0.0001,3.0,0.9,True,True
buy_trials_Conv1D,137,2.748603105545044,0.9386327862739563,0.9201953411102295,1.4459780509471893,3,32,7,valid,relu,he_normal,True,3,2,1,32,zeros,0.30000000000000004,0.0001,3.0,0.7000000000000001,True,False
buy_trials_Conv1D,138,2.5022029876708984,0.5218750238418579,0.4596484303474426,1.0363101363182068,3,32,7,valid,relu,he_normal,True,3,2,1,32,zeros,0.1,0.0001,3.0,0.5,True,True
buy_trials_Conv1D,139,1.906233310699463,0.9950390458106995,0.9950781464576721,1.4931328125,1,128,3,valid,relu,glorot_normal,False,3,1,1,32,zeros,0.1,0.01,1.0,0.30000000000000004,True,False
